date[YYYYDDD],date,product,band,min,max,sum,range,LAImean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2000049,2000-02-18,MOD15A2,Lai_1km,0.1000,0.1000,0.9000,0.0000,0.1000,0.0000,0.0000,9,9,100.00
A2000057,2000-02-26,MOD15A2,Lai_1km,0.2000,0.3000,2.0000,0.1000,0.2222,0.0017,0.0416,9,9,100.00
A2000065,2000-03-05,MOD15A2,Lai_1km,0.2000,0.2000,1.8000,0.0000,0.2000,0.0000,0.0000,9,9,100.00
A2000073,2000-03-13,MOD15A2,Lai_1km,0.2000,0.3000,2.1000,0.1000,0.2333,0.0022,0.0471,9,9,100.00
A2000081,2000-03-21,MOD15A2,Lai_1km,0.2000,0.3000,2.1000,0.1000,0.2333,0.0022,0.0471,9,9,100.00
A2000089,2000-03-29,MOD15A2,Lai_1km,0.3000,0.3000,2.7000,0.0000,0.3000,0.0000,0.0000,9,9,100.00
A2000097,2000-04-06,MOD15A2,Lai_1km,0.2000,0.3000,2.3000,0.1000,0.2556,0.0025,0.0497,9,9,100.00
A2000105,2000-04-14,MOD15A2,Lai_1km,0.2000,0.4000,2.8000,0.2000,0.3111,0.0032,0.0567,9,9,100.00
A2000113,2000-04-22,MOD15A2,Lai_1km,0.2000,0.4000,2.8000,0.2000,0.3111,0.0054,0.0737,9,9,100.00
A2000121,2000-04-30,MOD15A2,Lai_1km,0.3000,0.4000,3.0000,0.1000,0.3333,0.0022,0.0471,9,9,100.00
A2000129,2000-05-08,MOD15A2,Lai_1km,0.3000,0.4000,2.9000,0.1000,0.3222,0.0017,0.0416,9,9,100.00
A2000137,2000-05-16,MOD15A2,Lai_1km,0.2000,0.4000,2.6000,0.2000,0.2889,0.0032,0.0567,9,9,100.00
A2000145,2000-05-24,MOD15A2,Lai_1km,0.2000,0.4000,2.8000,0.2000,0.3111,0.0032,0.0567,9,9,100.00
A2000153,2000-06-01,MOD15A2,Lai_1km,0.2000,0.3000,2.6000,0.1000,0.2889,0.0010,0.0314,9,9,100.00
A2000161,2000-06-09,MOD15A2,Lai_1km,0.2000,0.4000,2.6000,0.2000,0.2889,0.0054,0.0737,9,9,100.00
A2000169,2000-06-17,MOD15A2,Lai_1km,0.3000,0.4000,3.1000,0.1000,0.3444,0.0025,0.0497,9,9,100.00
A2000177,2000-06-25,MOD15A2,Lai_1km,0.3000,0.6000,4.3000,0.3000,0.4778,0.0106,0.1030,9,9,100.00
A2000185,2000-07-03,MOD15A2,Lai_1km,0.4000,0.7000,5.6000,0.3000,0.6222,0.0084,0.0916,9,9,100.00
A2000193,2000-07-11,MOD15A2,Lai_1km,0.5000,0.7000,5.4000,0.2000,0.6000,0.0044,0.0667,9,9,100.00
A2000201,2000-07-19,MOD15A2,Lai_1km,0.4000,0.7000,5.5000,0.3000,0.6111,0.0121,0.1100,9,9,100.00
A2000209,2000-07-27,MOD15A2,Lai_1km,0.5000,0.7000,5.4000,0.2000,0.6000,0.0044,0.0667,9,9,100.00
A2000225,2000-08-12,MOD15A2,Lai_1km,0.5000,0.9000,6.6000,0.4000,0.7333,0.0200,0.1414,9,9,100.00
A2000233,2000-08-20,MOD15A2,Lai_1km,0.5000,1.0000,7.4000,0.5000,0.8222,0.0195,0.1397,9,9,100.00
A2000241,2000-08-28,MOD15A2,Lai_1km,0.5000,1.0000,7.6000,0.5000,0.8444,0.0225,0.1499,9,9,100.00
A2000249,2000-09-05,MOD15A2,Lai_1km,0.5000,0.7000,5.9000,0.2000,0.6556,0.0069,0.0831,9,9,100.00
A2000257,2000-09-13,MOD15A2,Lai_1km,0.5000,0.7000,5.3000,0.2000,0.5889,0.0054,0.0737,9,9,100.00
A2000265,2000-09-21,MOD15A2,Lai_1km,0.3000,0.6000,4.2000,0.3000,0.4667,0.0067,0.0816,9,9,100.00
A2000273,2000-09-29,MOD15A2,Lai_1km,0.3000,0.5000,4.2000,0.2000,0.4667,0.0044,0.0667,9,9,100.00
A2000281,2000-10-07,MOD15A2,Lai_1km,0.3000,0.5000,4.0000,0.2000,0.4444,0.0069,0.0831,9,9,100.00
A2000289,2000-10-15,MOD15A2,Lai_1km,0.3000,0.5000,3.8000,0.2000,0.4222,0.0062,0.0786,9,9,100.00
A2000297,2000-10-23,MOD15A2,Lai_1km,0.3000,0.5000,3.7000,0.2000,0.4111,0.0054,0.0737,9,9,100.00
A2000305,2000-10-31,MOD15A2,Lai_1km,0.2000,0.3000,2.0000,0.1000,0.2222,0.0017,0.0416,9,9,100.00
A2000313,2000-11-08,MOD15A2,Lai_1km,0.3000,0.4000,3.0000,0.1000,0.3333,0.0022,0.0471,9,9,100.00
A2000321,2000-11-16,MOD15A2,Lai_1km,0.3000,0.3000,2.7000,0.0000,0.3000,0.0000,0.0000,9,9,100.00
A2000329,2000-11-24,MOD15A2,Lai_1km,0.3000,0.3000,2.7000,0.0000,0.3000,0.0000,0.0000,9,9,100.00
A2000337,2000-12-02,MOD15A2,Lai_1km,0.2000,0.3000,2.1000,0.1000,0.2333,0.0022,0.0471,9,9,100.00
A2000345,2000-12-10,MOD15A2,Lai_1km,0.2000,0.3000,2.6000,0.1000,0.2889,0.0010,0.0314,9,9,100.00
A2000353,2000-12-18,MOD15A2,Lai_1km,0.2000,0.3000,2.4000,0.1000,0.2667,0.0022,0.0471,9,9,100.00
A2000361,2000-12-26,MOD15A2,Lai_1km,0.2000,0.3000,2.3000,0.1000,0.2556,0.0025,0.0497,9,9,100.00
